,Model 1,Model 2,Winner,Model 1 Total Score,Model 2 Total Score
0,claude-3-opus-20240229,claude-3-5-sonnet-20240620,Model 2,1.3820772700373836,1.6179227299626164
1,claude-3-opus-20240229,gpt-4o,Model 2,1.4403605603315275,1.5596394396684725
2,claude-3-opus-20240229,gpt-4-turbo,Model 2,1.2385937338469843,1.7614062661530157
3,claude-3-opus-20240229,gpt-4,Model 2,1.3515305475253168,1.648469452474683
4,claude-3-opus-20240229,gemini-1.5-pro,Model 2,1.3944738086834456,1.6055261913165546
5,claude-3-5-sonnet-20240620,gpt-4o,Model 2,1.3297846899084491,1.6702153100915504
6,claude-3-5-sonnet-20240620,gpt-4-turbo,Model 2,1.398073453999434,1.601926546000566
7,claude-3-5-sonnet-20240620,gpt-4,Model 2,1.2514141561325025,1.7485858438674977
8,claude-3-5-sonnet-20240620,gemini-1.5-pro,Model 2,1.3027142645532697,1.6972857354467306
9,gpt-4o,gpt-4-turbo,Model 2,1.2962099642005394,1.7037900357994604
10,gpt-4o,gpt-4,Model 2,1.316076693299146,1.683923306700854
11,gpt-4o,gemini-1.5-pro,Model 2,1.2933029870176898,1.7066970129823102
