Model 1,Model 2,Model 1 Total Score,Model 2 Total Score,Winner
gemini-1.5-pro,gpt-4-turbo,1.606859423906318,1.3931405760936821,Model 1
gemini-1.5-pro,claude-3-5-sonnet-20240620,1.6150870015733723,1.3849129984266277,Model 1
gemini-1.5-pro,gpt-4,2.00101196508266,0.9989880349173401,Model 1
gemini-1.5-pro,gpt-4o-mini,1.4708076252904605,1.5291923747095397,Model 2
gemini-1.5-pro,claude-2.0,1.8031278726260533,1.1968721273739464,Model 1
gemini-1.5-pro,claude-1.3,1.96236724756628,1.03763275243372,Model 1
gemini-1.5-pro,gpt-3.5-turbo,1.6842781983178146,1.3157218016821857,Model 1
gpt-4o,claude-3-opus-20240229,1.504611349013658,1.4953886509863423,Model 1
gpt-4o,gpt-4-turbo,1.422318771253323,1.5776812287466773,Model 2
gpt-4o,claude-3-5-sonnet-20240620,1.397938700987419,1.602061299012581,Model 2
gpt-4o,gpt-4,2.107467980575308,0.8925320194246922,Model 1
gpt-4o,gpt-4o-mini,1.4516560267100354,1.5483439732899646,Model 2
gpt-4o,claude-2.0,1.9400252943076062,1.0599747056923938,Model 1
gpt-4o,claude-3-sonnet-20240229,1.5374667821592416,1.4625332178407584,Model 1
gpt-4o,claude-1.3,1.90671741594558,1.09328258405442,Model 1
gpt-4o,gpt-3.5-turbo,1.873832163779484,1.126167836220516,Model 1
claude-3-opus-20240229,gpt-4-turbo,1.619103770479669,1.380896229520331,Model 1
claude-3-opus-20240229,claude-3-5-sonnet-20240620,1.6920352770976639,1.3079647229023361,Model 1
claude-3-opus-20240229,gpt-4,1.9760166974996607,1.0239833025003393,Model 1
claude-3-opus-20240229,gpt-4o-mini,1.559369338918981,1.4406306610810191,Model 1
claude-3-opus-20240229,claude-2.0,1.5701489155211243,1.4298510844788757,Model 1
claude-3-opus-20240229,claude-3-sonnet-20240229,1.5292647175817453,1.4707352824182545,Model 1
claude-3-opus-20240229,claude-1.3,1.9129760472608917,1.0870239527391083,Model 1
claude-3-opus-20240229,gpt-3.5-turbo,1.9490839634122277,1.0509160365877723,Model 1
gpt-4-turbo,claude-3-5-sonnet-20240620,1.5470984910490815,1.4529015089509185,Model 1
gpt-4-turbo,gpt-4,1.8344960177873852,1.1655039822126148,Model 1
gpt-4-turbo,gpt-4o-mini,1.4406646381706998,1.5593353618293002,Model 2
gpt-4-turbo,claude-2.0,1.8334140770396892,1.1665859229603106,Model 1
gpt-4-turbo,claude-3-sonnet-20240229,1.6103947187427634,1.3896052812572366,Model 1
gpt-4-turbo,claude-1.3,1.8663253983460044,1.1336746016539956,Model 1
gpt-4-turbo,gpt-3.5-turbo,1.9812467181986138,1.018753281801386,Model 1
claude-3-5-sonnet-20240620,gpt-4,1.7907528292878683,1.2092471707121317,Model 1
claude-3-5-sonnet-20240620,gpt-4o-mini,1.4028953755714983,1.5971046244285017,Model 2
claude-3-5-sonnet-20240620,claude-2.0,1.5531205149763703,1.4468794850236297,Model 1
claude-3-5-sonnet-20240620,claude-3-sonnet-20240229,1.5270156320856096,1.4729843679143904,Model 1
claude-3-5-sonnet-20240620,claude-1.3,1.9339640704781496,1.0660359295218504,Model 1
claude-3-5-sonnet-20240620,gpt-3.5-turbo,1.7701642119980996,1.2298357880019002,Model 1
gpt-4,gpt-4o-mini,1.1927769644999962,1.8072230355000038,Model 2
gpt-4,claude-2.0,1.227146037498724,1.7728539625012758,Model 2
gpt-4,claude-3-sonnet-20240229,1.1141236596064685,1.8858763403935315,Model 2
gpt-4,claude-1.3,1.5283842370037362,1.4716157629962638,Model 1
gpt-4,gpt-3.5-turbo,1.420768454008865,1.5792315459911352,Model 2
gpt-4o-mini,claude-2.0,1.8965672823751434,1.1034327176248566,Model 1
gpt-4o-mini,claude-3-sonnet-20240229,1.5588400672360103,1.4411599327639897,Model 1
gpt-4o-mini,claude-1.3,1.9468623025702,1.0531376974297997,Model 1
gpt-4o-mini,gpt-3.5-turbo,1.9750597536213914,1.0249402463786086,Model 1
claude-2.0,claude-3-sonnet-20240229,1.1605341280115942,1.839465871988406,Model 2
claude-2.0,claude-1.3,1.8366596939473894,1.1633403060526106,Model 1
claude-2.0,gpt-3.5-turbo,1.4704765472183792,1.5295234527816208,Model 2
claude-3-sonnet-20240229,claude-1.3,1.8271037226475269,1.1728962773524731,Model 1
claude-3-sonnet-20240229,gpt-3.5-turbo,1.722041202847781,1.2779587971522188,Model 1
claude-1.3,gpt-3.5-turbo,1.4615739693188852,1.5384260306811148,Model 2
