,Model 1,Model 2,Model 1 Total Score,Model 2 Total Score,Winner
0,claude-3-5-sonnet-20240620,claude-3-opus-20240229,1.4472377118664457,1.5527622881335543,Model 2
1,claude-3-5-sonnet-20240620,gpt-4o-2024-05-13,1.603179199553861,1.3968208004461389,Model 1
2,claude-3-5-sonnet-20240620,gpt-4o-mini,1.5830150288643243,1.4169849711356755,Model 1
3,claude-3-5-sonnet-20240620,gpt-4-turbo,1.5162660443881577,1.4837339556118423,Model 1
4,claude-3-5-sonnet-20240620,gpt-4-1106-preview,1.3706065003386496,1.6293934996613504,Model 2
5,claude-3-opus-20240229,gpt-4o-2024-05-13,1.584641024033628,1.4153589759663718,Model 1
6,claude-3-opus-20240229,gpt-4o-mini,1.3694456454179746,1.6305543545820256,Model 2
7,claude-3-opus-20240229,gpt-4-turbo,1.3807155796831951,1.6192844203168049,Model 2
8,claude-3-opus-20240229,gpt-4-1106-preview,1.5321502418847686,1.4678497581152314,Model 1
9,gpt-4o-2024-05-13,gpt-4o-mini,1.6116749929292555,1.3883250070707447,Model 1
10,gpt-4o-2024-05-13,gpt-4-turbo,1.5353345665571745,1.4646654334428253,Model 1
11,gpt-4o-2024-05-13,gpt-4-1106-preview,1.4874013296646564,1.5125986703353433,Model 2
12,gpt-4o-mini,gpt-4-turbo,1.5856698148244002,1.4143301851755998,Model 1
13,gpt-4o-mini,gpt-4-1106-preview,1.2843108374643157,1.7156891625356843,Model 2
14,gpt-4-turbo,gpt-4-1106-preview,1.2803043674199197,1.71969563258008,Model 2
